,user_id_str,type
116,55498924,no coordinate
117,55498924,no coordinate
118,53541705,"['locality', 'political'] ['neighborhood', 'political']"
119,53541705,"['locality', 'political'] ['point_of_interest', 'establishment'] ['neighborhood', 'political']"
120,30035884,Store
121,55498924,no coordinate
122,62536337,"['route'] ['furniture_store', 'home_goods_store', 'clothing_store', 'store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
123,30035884,"['route'] ['transit_station', 'point_of_interest', 'establishment'] ['locality', 'political']"
124,53541705,"['locality', 'political'] ['neighborhood', 'political']"
125,14397810,"['locality', 'political'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['atm', 'finance', 'point_of_interest', 'establishment'] ['atm', 'finance', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
126,55498924,no coordinate
127,14282045,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
128,53541705,"['locality', 'political'] ['neighborhood', 'political']"
129,14282045,"['route'] ['locality', 'political']"
130,53541705,"['locality', 'political'] ['neighborhood', 'political']"
131,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
132,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
133,14282045,"['route'] ['locality', 'political']"
134,16094512,"['locality', 'political'] ['neighborhood', 'political']"
135,16094512,"['locality', 'political'] ['neighborhood', 'political']"
136,55498924,no coordinate
137,55498924,no coordinate
138,55498924,no coordinate
139,55498924,no coordinate
140,55498924,no coordinate
141,55498924,no coordinate
142,55498924,no coordinate
143,148017981,"['locality', 'political'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment']"
144,160932283,Ferry
145,55498924,no coordinate
146,160932283,"['route'] ['locality', 'political']"
147,160932283,Centre
148,37575049,"['locality', 'political'] ['neighborhood', 'political']"
149,7376602,"['locality', 'political'] ['beauty_salon', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment']"
150,30035884,Tunnel
151,30035884,Tunnel
152,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
153,30035884,"['route'] ['health', 'store', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
154,62536337,"['locality', 'political'] ['bank', 'premise', 'finance', 'point_of_interest', 'establishment'] ['finance', 'point_of_interest', 'establishment'] ['dentist', 'health', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
155,160932283,"['route'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['cafe', 'food', 'point_of_interest', 'establishment'] ['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment']"
156,7376602,"['route'] ['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment'] ['shopping_mall', 'point_of_interest', 'establishment'] ['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
157,883377606,"['locality', 'political']"
158,53541705,"['route'] ['point_of_interest', 'establishment'] ['locality', 'political']"
159,148017981,"['route'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['point_of_interest', 'establishment'] ['store', 'food', 'point_of_interest', 'establishment']"
160,30035884,Ferry
161,14397810,"['locality', 'political'] ['neighborhood', 'political']"
162,55498924,"['locality', 'political'] ['bank', 'finance', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['neighborhood', 'political']"
163,53541705,"['locality', 'political'] ['neighborhood', 'political']"
164,1651882188,"['locality', 'political'] ['neighborhood', 'political']"
165,191738379,"['route'] ['point_of_interest', 'establishment'] ['bar', 'point_of_interest', 'establishment'] ['hardware_store', 'store', 'point_of_interest', 'establishment'] ['point_of_interest', 'establishment']"
166,55498924,"['locality', 'political'] ['restaurant', 'food', 'point_of_interest', 'establishment'] ['store', 'point_of_interest', 'establishment'] ['clothing_store', 'jewelry_store', 'furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment'] ['health', 'store', 'point_of_interest', 'establishment']"
