,user_id_str,activity
685,148017981,free_time_leisure_activities
686,148017981,free_time_leisure_activities
687,148017981,free_time_leisure_activities
688,36204274,basic_necessities
689,160932283,travel
690,14397810,basic_necessities
691,55498924,free_time_leisure_activities
692,55498924,free_time_leisure_activities
693,55498924,free_time_leisure_activities
694,14397810,basic_necessities
695,55498924,free_time_leisure_activities
696,36204274,basic_necessities
697,36204274,basic_necessities
698,55498924,basic_necessities
699,55498924,basic_necessities
700,55498924,basic_necessities
701,55498924,free_time_leisure_activities
702,55498924,basic_necessities
703,55498924,basic_necessities
704,14397810,free_time_leisure_activities
705,160932283,free_time_leisure_activities
706,37575049,basic_necessities
707,62536337,free_time_leisure_activities
708,129446245,basic_necessities
709,129446245,basic_necessities
710,53893147,free_time_leisure_activities
711,53893147,free_time_leisure_activities
712,53893147,free_time_leisure_activities
713,53893147,free_time_leisure_activities
714,191738379,free_time_leisure_activities
715,7376602,education_training
716,129446245,free_time_leisure_activities
717,129446245,basic_necessities
718,129446245,free_time_leisure_activities
719,2399387766,basic_necessities
720,129446245,free_time_leisure_activities
721,14397810,travel
722,7376602,unpaid_activities
723,55498924,basic_necessities
724,55498924,basic_necessities
725,160932283,free_time_leisure_activities
726,191738379,basic_necessities
727,129446245,free_time_leisure_activities
728,14397810,unpaid_activities
729,129446245,free_time_leisure_activities
730,883377606,unpaid_activities
731,55498924,basic_necessities
732,53893147,free_time_leisure_activities
733,37575049,basic_necessities
734,30035884,travel
735,2399387766,basic_necessities
736,53893147,basic_necessities
737,62536337,basic_necessities
738,7376602,free_time_leisure_activities
739,14282045,free_time_leisure_activities
740,14282045,free_time_leisure_activities
741,191738379,free_time_leisure_activities
742,1651882188,basic_necessities
743,14397810,free_time_leisure_activities
744,883377606,basic_necessities
745,55498924,basic_necessities
746,55498924,basic_necessities
747,62536337,basic_necessities
748,30035884,basic_necessities
749,2399387766,free_time_leisure_activities
750,55498924,basic_necessities
751,55498924,basic_necessities
752,55498924,basic_necessities
753,1651882188,basic_necessities
754,160932283,travel
